round,outer_loop,inner_best_score,best_hyperparams,selected_features,balanced_accuracy,accuracy,precision,recall,specificity,matthews_corrcoef,f1,roc_auc,matthews_corrcoef_med
0,0,0.9829968945713115,"{'boosting_type': 'dart', 'num_leaves': 60, 'max_depth': 33, 'learning_rate': 0.02160182465051912, 'n_estimators': 338, 'min_child_samples': 14, 'reg_alpha': 0.2330238187113869, 'reg_lambda': 0.42185885922922084, 'bagging_freq': 10, 'bagging_fraction': 0.9235911225228578, 'feature_fraction': 0.85552811222192}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.8830409356725146,0.8817204301075269,0.8205128205128205,0.8888888888888888,0.8771929824561403,0.7561965298229242,0.8533333333333334,0.8830409356725146,0.9087814928774577
0,1,0.9490789363156102,"{'boosting_type': 'dart', 'num_leaves': 62, 'max_depth': 95, 'learning_rate': 0.15959656481199616, 'n_estimators': 826, 'min_child_samples': 11, 'reg_alpha': 0.1007670079760575, 'reg_lambda': 0.4369130865412602, 'bagging_freq': 1, 'bagging_fraction': 0.6536300392896495, 'feature_fraction': 0.5323118657287048}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9571428571428571,0.967391304347826,1.0,0.9142857142857143,1.0,0.931971796017148,0.9552238805970149,0.9571428571428571,0.9087814928774577
0,2,0.9150349849692061,"{'boosting_type': 'gbdt', 'num_leaves': 15, 'max_depth': 1, 'learning_rate': 0.351304012201904, 'n_estimators': 873, 'min_child_samples': 33, 'reg_alpha': 0.9347676682389038, 'reg_lambda': 0.8869300872000567, 'bagging_freq': 3, 'bagging_fraction': 0.6747868167550918, 'feature_fraction': 0.2303783578267551}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9912280701754386,0.9891304347826086,0.9722222222222222,1.0,0.9824561403508771,0.9773257860139561,0.9859154929577465,0.9912280701754386,0.9087814928774577
0,3,0.9482794467538581,"{'boosting_type': 'dart', 'num_leaves': 31, 'max_depth': 95, 'learning_rate': 0.008262086950617278, 'n_estimators': 849, 'min_child_samples': 50, 'reg_alpha': 0.3219722502113853, 'reg_lambda': 0.0006554508661242575, 'bagging_freq': 9, 'bagging_fraction': 0.4957816522240859, 'feature_fraction': 0.15027365520786784}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9404761904761905,0.9456521739130435,0.9428571428571428,0.9166666666666666,0.9642857142857143,0.8855768346738705,0.9295774647887324,0.9404761904761905,0.9087814928774577
0,4,0.94900971817604,"{'boosting_type': 'gbdt', 'num_leaves': 47, 'max_depth': 89, 'learning_rate': 0.9890448867635342, 'n_estimators': 257, 'min_child_samples': 3, 'reg_alpha': 0.7196170880737881, 'reg_lambda': 0.45186103556474033, 'bagging_freq': 3, 'bagging_fraction': 0.49374958766544574, 'feature_fraction': 0.7624775060786664}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9494047619047619,0.9565217391304348,0.9705882352941176,0.9166666666666666,0.9821428571428571,0.9087814928774577,0.9428571428571428,0.9494047619047619,0.9087814928774577
1,0,0.9327118364548688,"{'boosting_type': 'gbdt', 'num_leaves': 45, 'max_depth': 100, 'learning_rate': 0.9021287712116287, 'n_estimators': 64, 'min_child_samples': 7, 'reg_alpha': 0.6309713925411704, 'reg_lambda': 0.4351188929140352, 'bagging_freq': 7, 'bagging_fraction': 0.6353620471822814, 'feature_fraction': 0.94144180205944}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9166666666666667,0.9354838709677419,1.0,0.8333333333333334,1.0,0.8683134537528795,0.9090909090909091,0.9166666666666667,0.8398951671872924
1,1,0.9655655095184771,"{'boosting_type': 'gbdt', 'num_leaves': 91, 'max_depth': 30, 'learning_rate': 0.33015645135842453, 'n_estimators': 371, 'min_child_samples': 16, 'reg_alpha': 0.3618454627479517, 'reg_lambda': 0.9546437025773692, 'bagging_freq': 9, 'bagging_fraction': 0.8950973423871766, 'feature_fraction': 0.6696216295091025}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.92531328320802,0.9347826086956522,0.9393939393939394,0.8857142857142857,0.9649122807017544,0.8610481075152439,0.9117647058823529,0.9253132832080201,0.8398951671872924
1,2,0.9328736058850428,"{'boosting_type': 'rf', 'num_leaves': 48, 'max_depth': 7, 'learning_rate': 0.07441039539424711, 'n_estimators': 671, 'min_child_samples': 66, 'reg_alpha': 0.6767543566537622, 'reg_lambda': 0.7058917278861344, 'bagging_freq': 4, 'bagging_fraction': 0.9683296740616553, 'feature_fraction': 0.26743620652559397}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9132832080200501,0.9130434782608695,0.8648648648648649,0.9142857142857143,0.9122807017543859,0.8184025970361057,0.8888888888888888,0.91328320802005,0.8398951671872924
1,3,1.0,"{'boosting_type': 'dart', 'num_leaves': 34, 'max_depth': 57, 'learning_rate': 0.0024302040760486106, 'n_estimators': 533, 'min_child_samples': 40, 'reg_alpha': 0.485013591680643, 'reg_lambda': 0.6830460516189588, 'bagging_freq': 7, 'bagging_fraction': 0.9016759607540079, 'feature_fraction': 0.2870211600162139}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9126984126984128,0.9239130434782609,0.9393939393939394,0.8611111111111112,0.9642857142857143,0.8398951671872924,0.8985507246376812,0.9126984126984128,0.8398951671872924
1,4,0.9317025241191677,"{'boosting_type': 'dart', 'num_leaves': 50, 'max_depth': 31, 'learning_rate': 0.021721142837632254, 'n_estimators': 704, 'min_child_samples': 84, 'reg_alpha': 0.27094276115645055, 'reg_lambda': 0.8798316657770402, 'bagging_freq': 4, 'bagging_fraction': 0.756032935976008, 'feature_fraction': 0.38913150604850416}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9176587301587301,0.9239130434782609,0.9142857142857143,0.8888888888888888,0.9464285714285714,0.8397023590038276,0.9014084507042254,0.9176587301587301,0.8398951671872924
