round,outer_loop,inner_best_score,best_hyperparams,selected_features,balanced_accuracy,accuracy,precision,recall,specificity,matthews_corrcoef,f1,roc_auc,matthews_corrcoef_med
0,0,0.9480211905559681,"{'solver': 'eigen', 'shrinkage': None, 'priors': [0.5, 0.5]}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9005847953216374,0.9032258064516129,0.8648648648648649,0.8888888888888888,0.9122807017543859,0.7972935660181089,0.8767123287671232,0.9005847953216374,0.9087814928774577
0,1,0.9143962602267603,"{'solver': 'lsqr', 'shrinkage': 'auto', 'priors': [0.5, 0.5]}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9395989974937343,0.9456521739130435,0.9411764705882353,0.9142857142857143,0.9649122807017544,0.8843103004653615,0.927536231884058,0.9395989974937342,0.9087814928774577
0,2,0.9328736058850428,"{'solver': 'lsqr', 'shrinkage': 'auto', 'priors': None}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9714285714285714,0.9782608695652174,1.0,0.9428571428571428,1.0,0.9544086565917347,0.9705882352941176,0.9714285714285714,0.9087814928774577
0,3,0.9482794467538581,"{'solver': 'svd', 'shrinkage': None, 'priors': [0.5, 0.5]}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9632936507936507,0.967391304347826,0.9714285714285714,0.9444444444444444,0.9821428571428571,0.9314513103439134,0.9577464788732394,0.9632936507936507,0.9087814928774577
0,4,0.94900971817604,"{'solver': 'eigen', 'shrinkage': 'auto', 'priors': [0.5, 0.5]}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9494047619047619,0.9565217391304348,0.9705882352941176,0.9166666666666666,0.9821428571428571,0.9087814928774577,0.9428571428571428,0.9494047619047619,0.9087814928774577
1,0,0.9152955574276588,"{'solver': 'lsqr', 'shrinkage': 'auto', 'priors': [0.5, 0.5]}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9444444444444444,0.956989247311828,1.0,0.8888888888888888,1.0,0.9113731907929785,0.9411764705882353,0.9444444444444444,0.8675760324277122
1,1,0.94900971817604,"{'solver': 'lsqr', 'shrinkage': None, 'priors': None}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.8912280701754386,0.9130434782608695,0.9655172413793104,0.8,0.9824561403508771,0.8176400937954205,0.875,0.8912280701754386,0.8675760324277122
1,2,0.9164298936634487,"{'solver': 'lsqr', 'shrinkage': 'auto', 'priors': [0.5, 0.5]}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9385964912280702,0.9239130434782609,0.8333333333333334,1.0,0.8771929824561403,0.8549819600709617,0.9090909090909091,0.9385964912280702,0.8675760324277122
1,3,0.9482794467538581,"{'solver': 'lsqr', 'shrinkage': 'auto', 'priors': None}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9444444444444444,0.9565217391304348,1.0,0.8888888888888888,1.0,0.9108400680852976,0.9411764705882353,0.9444444444444444,0.8675760324277122
1,4,0.9322815755822984,"{'solver': 'svd', 'shrinkage': None, 'priors': None}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9166666666666667,0.9347826086956522,1.0,0.8333333333333334,1.0,0.8675760324277122,0.9090909090909091,0.9166666666666667,0.8675760324277122
