round,outer_loop,inner_best_score,best_hyperparams,selected_features,balanced_accuracy,accuracy,precision,recall,specificity,matthews_corrcoef,f1,roc_auc,matthews_corrcoef_med
0,0,0.9828594562263527,"{'n_estimators': 16, 'criterion': 'gini', 'min_samples_split': 8}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.8654970760233918,0.8602150537634409,0.7804878048780488,0.8888888888888888,0.8421052631578947,0.717148312221029,0.8311688311688312,0.8654970760233918,0.9108400680852976
0,1,0.9490789363156102,"{'n_estimators': 73, 'criterion': 'gini', 'min_samples_split': 5}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9483709273182956,0.9565217391304348,0.9696969696969697,0.9142857142857143,0.9824561403508771,0.9077283820534893,0.9411764705882353,0.9483709273182956,0.9108400680852976
0,2,0.9316666666666666,"{'n_estimators': 10, 'criterion': 'gini', 'min_samples_split': 5}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9571428571428571,0.967391304347826,1.0,0.9142857142857143,1.0,0.931971796017148,0.9552238805970149,0.9571428571428571,0.9108400680852976
0,3,0.9482794467538581,"{'n_estimators': 12, 'criterion': 'gini', 'min_samples_split': 14}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9444444444444444,0.9565217391304348,1.0,0.8888888888888888,1.0,0.9108400680852976,0.9411764705882353,0.9444444444444444,0.9108400680852976
0,4,0.94900971817604,"{'n_estimators': 23, 'criterion': 'gini', 'min_samples_split': 10}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9632936507936507,0.967391304347826,0.9714285714285714,0.9444444444444444,0.9821428571428571,0.9314513103439134,0.9577464788732394,0.9632936507936507,0.9108400680852976
1,0,0.9486965773990359,"{'n_estimators': 32, 'criterion': 'gini', 'min_samples_split': 2}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9305555555555556,0.946236559139785,1.0,0.8611111111111112,1.0,0.8897565210026093,0.9253731343283582,0.9305555555555556,0.8640781895898471
1,1,0.9327118364548688,"{'n_estimators': 27, 'criterion': 'entropy', 'min_samples_split': 19}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9077694235588972,0.9130434782608695,0.8857142857142857,0.8857142857142857,0.9298245614035088,0.8155388471177945,0.8857142857142857,0.9077694235588972,0.8640781895898471
1,2,0.9494431566409375,"{'n_estimators': 46, 'criterion': 'entropy', 'min_samples_split': 6}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.956140350877193,0.9456521739130435,0.875,1.0,0.9122807017543859,0.893445921158683,0.9333333333333333,0.956140350877193,0.8640781895898471
1,3,1.0,"{'n_estimators': 31, 'criterion': 'entropy', 'min_samples_split': 15}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9315476190476191,0.9347826086956522,0.9166666666666666,0.9166666666666666,0.9464285714285714,0.8630952380952381,0.9166666666666666,0.931547619047619,0.8640781895898471
1,4,0.9494431566409375,"{'n_estimators': 16, 'criterion': 'gini', 'min_samples_split': 2}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9216269841269842,0.9347826086956522,0.96875,0.8611111111111112,0.9821428571428571,0.8640781895898471,0.9117647058823529,0.9216269841269842,0.8640781895898471
2,0,0.9307925169492673,"{'n_estimators': 11, 'criterion': 'gini', 'min_samples_split': 18}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9407894736842105,0.946236559139785,0.9428571428571428,0.9166666666666666,0.9649122807017544,0.8863431031197888,0.9295774647887324,0.9407894736842105,0.8681816933379206
2,1,0.9666436778875658,"{'n_estimators': 80, 'criterion': 'entropy', 'min_samples_split': 3}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9428571428571428,0.9565217391304348,1.0,0.8857142857142857,1.0,0.9097442829837106,0.9393939393939394,0.9428571428571428,0.8681816933379206
2,2,0.9658333333333333,"{'n_estimators': 60, 'criterion': 'entropy', 'min_samples_split': 17}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9418546365914786,0.9347826086956522,0.8717948717948718,0.9714285714285714,0.9122807017543859,0.8681816933379206,0.918918918918919,0.9418546365914786,0.8681816933379206
2,3,0.9655655095184771,"{'n_estimators': 62, 'criterion': 'gini', 'min_samples_split': 5}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.8938492063492063,0.9130434782608695,0.9666666666666667,0.8055555555555556,0.9821428571428571,0.8200659163661946,0.8787878787878788,0.8938492063492064,0.8681816933379206
2,4,0.9167116002059043,"{'n_estimators': 99, 'criterion': 'gini', 'min_samples_split': 13}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9365079365079365,0.9347826086956522,0.8947368421052632,0.9444444444444444,0.9285714285714286,0.8653239532725195,0.918918918918919,0.9365079365079365,0.8681816933379206
3,0,0.9657008130045427,"{'n_estimators': 32, 'criterion': 'gini', 'min_samples_split': 12}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9597953216374269,0.956989247311828,0.9210526315789473,0.9722222222222222,0.9473684210526315,0.9111923792953696,0.9459459459459459,0.959795321637427,0.9111923792953696
3,1,0.9316666666666666,"{'n_estimators': 95, 'criterion': 'gini', 'min_samples_split': 4}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9428571428571428,0.9565217391304348,1.0,0.8857142857142857,1.0,0.9097442829837106,0.9393939393939394,0.9428571428571428,0.9111923792953696
3,2,0.9829968945713115,"{'n_estimators': 74, 'criterion': 'entropy', 'min_samples_split': 4}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.856140350877193,0.8695652173913043,0.8484848484848485,0.8,0.9122807017543859,0.7210072839005077,0.8235294117647058,0.856140350877193,0.9111923792953696
3,3,0.9343794815169456,"{'n_estimators': 10, 'criterion': 'gini', 'min_samples_split': 7}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9821428571428572,0.9782608695652174,0.9473684210526315,1.0,0.9642857142857143,0.9557896392964648,0.972972972972973,0.9821428571428572,0.9111923792953696
3,4,0.9486965773990359,"{'n_estimators': 18, 'criterion': 'entropy', 'min_samples_split': 6}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9632936507936507,0.967391304347826,0.9714285714285714,0.9444444444444444,0.9821428571428571,0.9314513103439134,0.9577464788732394,0.9632936507936507,0.9111923792953696
4,0,0.9662326025222243,"{'n_estimators': 39, 'criterion': 'gini', 'min_samples_split': 16}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9159356725146199,0.9032258064516129,0.813953488372093,0.9722222222222222,0.8596491228070176,0.8126913044094601,0.8860759493670886,0.9159356725146199,0.8623778573841059
4,1,0.9655655095184771,"{'n_estimators': 55, 'criterion': 'entropy', 'min_samples_split': 16}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9197994987468672,0.9347826086956522,0.967741935483871,0.8571428571428571,0.9824561403508771,0.8623778573841059,0.9090909090909091,0.9197994987468672,0.8623778573841059
4,2,0.9505416412576073,"{'n_estimators': 10, 'criterion': 'entropy', 'min_samples_split': 3}","['concave_points_worst', 'perimeter_worst', 'concave_points_mean', 'radius_worst', 'perimeter_mean', 'area_worst', 'concavity_mean', 'radius_mean', 'concavity_worst', 'area_mean']",0.9483709273182956,0.9565217391304348,0.9696969696969697,0.9142857142857143,0.9824561403508771,0.9077283820534893,0.9411764705882353,0.9483709273182956,0.8623778573841059
