round,outer_loop,inner_best_score,best_hyperparams,selected_features,balanced_accuracy,accuracy,precision,recall,specificity,matthews_corrcoef,f1,roc_auc,matthews_corrcoef_med
0,0,0.8503537798653794,{'var_smoothing': 6.105453919468646e-07},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8581871345029239,0.8387096774193549,0.723404255319149,0.9444444444444444,0.7719298245614035,0.697912234634051,0.8192771084337349,0.8581871345029238,0.7322666919985751
0,1,0.7746487098468423,{'var_smoothing': 2.6149771669779155e-09},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9418546365914786,0.9347826086956522,0.8717948717948718,0.9714285714285714,0.9122807017543859,0.8681816933379206,0.918918918918919,0.9418546365914786,0.7322666919985751
0,2,0.8608441389583525,{'var_smoothing': 7.173939947672303e-09},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8726817042606516,0.8695652173913043,0.7948717948717948,0.8857142857142857,0.8596491228070176,0.7322666919985751,0.8378378378378378,0.8726817042606516,0.7322666919985751
0,3,0.8135135995530898,{'var_smoothing': 4.406668599635381e-06},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8452380952380952,0.8478260869565217,0.7894736842105263,0.8333333333333334,0.8571428571428571,0.6843925812246291,0.8108108108108109,0.8452380952380953,0.7322666919985751
0,4,0.8511624064903608,{'var_smoothing': 6.514569048490275e-07},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9593253968253967,0.9565217391304348,0.9210526315789473,0.9722222222222222,0.9464285714285714,0.9105567962844922,0.9459459459459459,0.9593253968253969,0.7322666919985751
1,0,0.7787098096795079,{'var_smoothing': 4.835489275409014e-10},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9232456140350878,0.9247311827956989,0.8918918918918919,0.9166666666666666,0.9298245614035088,0.8423959392782573,0.9041095890410958,0.9232456140350876,0.7793920214352487
1,1,0.7998442426921094,{'var_smoothing': 7.56642955715378e-09},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9155388471177945,0.9021739130434783,0.8095238095238095,0.9714285714285714,0.8596491228070176,0.8100343370272312,0.8831168831168831,0.9155388471177945,0.7793920214352487
1,2,0.8184237199915114,{'var_smoothing': 1.1800666499897198e-09},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8606516290726817,0.8478260869565217,0.7441860465116279,0.9142857142857143,0.8070175438596491,0.7018706405364672,0.8205128205128205,0.8606516290726817,0.7793920214352487
1,3,0.8324923572025978,{'var_smoothing': 7.77735505798771e-08},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8819444444444444,0.8804347826086957,0.8205128205128205,0.8888888888888888,0.875,0.7544061473545739,0.8533333333333334,0.8819444444444444,0.7793920214352487
1,4,0.8172921457338695,{'var_smoothing': 2.390029364325722e-09},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8958333333333333,0.8913043478260869,0.825,0.9166666666666666,0.875,0.7793920214352487,0.868421052631579,0.8958333333333333,0.7793920214352487
2,0,0.8352845047201339,{'var_smoothing': 5.190948504965779e-10},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9005847953216374,0.9032258064516129,0.8648648648648649,0.8888888888888888,0.9122807017543859,0.7972935660181089,0.8767123287671232,0.9005847953216374,0.7853919492733364
2,1,0.8184237199915114,{'var_smoothing': 9.149044738223455e-08},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9155388471177945,0.9021739130434783,0.8095238095238095,0.9714285714285714,0.8596491228070176,0.8100343370272312,0.8831168831168831,0.9155388471177945,0.7853919492733364
2,2,0.8274212131086437,{'var_smoothing': 2.2400731854949172e-08},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8837092731829574,0.8695652173913043,0.7674418604651163,0.9428571428571428,0.8245614035087719,0.7467435376381731,0.8461538461538461,0.8837092731829574,0.7853919492733364
2,3,0.8552192024452464,{'var_smoothing': 2.903696641661873e-06},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8630952380952381,0.8695652173913043,0.8333333333333334,0.8333333333333334,0.8928571428571429,0.7261904761904762,0.8333333333333334,0.8630952380952381,0.7853919492733364
2,4,0.7985299824311486,{'var_smoothing': 8.520313727373726e-10},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9007936507936507,0.8913043478260869,0.8095238095238095,0.9444444444444444,0.8571428571428571,0.7853919492733364,0.8717948717948718,0.9007936507936508,0.7853919492733364
3,0,0.8503537798653794,{'var_smoothing': 4.90249172127358e-10},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9071637426900585,0.8924731182795699,0.7954545454545454,0.9722222222222222,0.8421052631578947,0.794444190274635,0.875,0.9071637426900584,0.7928500876103637
3,1,0.7864128087843597,{'var_smoothing': 2.5625804011128666e-07},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9132832080200501,0.9130434782608695,0.8648648648648649,0.9142857142857143,0.9122807017543859,0.8184025970361057,0.8888888888888888,0.91328320802005,0.7928500876103637
3,2,0.7969844707240804,{'var_smoothing': 2.2865975198777095e-07},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8528822055137845,0.8586956521739131,0.8055555555555556,0.8285714285714286,0.8771929824561403,0.7020789319936991,0.8169014084507042,0.8528822055137847,0.7928500876103637
3,3,0.7834218849773783,{'var_smoothing': 6.574120987689092e-10},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9057539682539683,0.8913043478260869,0.7954545454545454,0.9722222222222222,0.8392857142857143,0.7928500876103637,0.875,0.9057539682539683,0.7928500876103637
3,4,0.8114953087099337,{'var_smoothing': 1.1240607689424704e-06},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8819444444444444,0.8804347826086957,0.8205128205128205,0.8888888888888888,0.875,0.7544061473545739,0.8533333333333334,0.8819444444444444,0.7928500876103637
4,0,0.8274212131086437,{'var_smoothing': 6.421568876508029e-09},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9071637426900585,0.8924731182795699,0.7954545454545454,0.9722222222222222,0.8421052631578947,0.794444190274635,0.875,0.9071637426900584,0.794444190274635
4,1,0.8197560612767679,{'var_smoothing': 2.829430349215355e-07},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8759398496240601,0.8804347826086957,0.8333333333333334,0.8571428571428571,0.8947368421052632,0.747953407663742,0.8450704225352113,0.8759398496240601,0.794444190274635
4,2,0.8135135995530898,{'var_smoothing': 5.551625806905007e-09},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9155388471177945,0.9021739130434783,0.8095238095238095,0.9714285714285714,0.8596491228070176,0.8100343370272312,0.8831168831168831,0.9155388471177945,0.794444190274635
4,3,0.8139494400514883,{'var_smoothing': 5.8440562484655905e-09},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8819444444444444,0.8804347826086957,0.8205128205128205,0.8888888888888888,0.875,0.7544061473545739,0.8533333333333334,0.8819444444444444,0.794444190274635
4,4,0.7847673784472265,{'var_smoothing': 4.8395681117953076e-08},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9097222222222222,0.9021739130434783,0.8292682926829268,0.9444444444444444,0.875,0.8046143294400309,0.8831168831168831,0.9097222222222222,0.794444190274635
5,0,0.8457956258822092,{'var_smoothing': 7.100785659938113e-10},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8757309941520468,0.8602150537634409,0.7555555555555555,0.9444444444444444,0.8070175438596491,0.7324345457941239,0.8395061728395061,0.8757309941520469,0.7748582672485743
5,1,0.8371426621683604,{'var_smoothing': 5.315505562938786e-09},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9363408521303258,0.9347826086956522,0.8918918918918919,0.9428571428571428,0.9298245614035088,0.8640624144571619,0.9166666666666666,0.9363408521303258,0.7748582672485743
5,2,0.8139494400514883,{'var_smoothing': 3.0350436628612124e-09},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8551378446115288,0.8478260869565217,0.7560975609756098,0.8857142857142857,0.8245614035087719,0.6937793734667086,0.8157894736842105,0.8551378446115288,0.7748582672485743
5,3,0.8371426621683604,{'var_smoothing': 1.9164731180354065e-10},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9186507936507937,0.9130434782608695,0.85,0.9444444444444444,0.8928571428571429,0.8243193810668544,0.8947368421052632,0.9186507936507937,0.7748582672485743
5,4,0.821503830041155,{'var_smoothing': 1.0136183568947719e-08},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8908730158730158,0.8913043478260869,0.8421052631578947,0.8888888888888888,0.8928571428571429,0.7748582672485743,0.8648648648648649,0.8908730158730158,0.7748582672485743
6,0,0.8664547319740471,{'var_smoothing': 2.0301823449983267e-08},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9283625730994152,0.9247311827956989,0.8717948717948718,0.9444444444444444,0.9122807017543859,0.8456701650309801,0.9066666666666666,0.9283625730994151,0.7793920214352487
6,1,0.8511624064903608,{'var_smoothing': 5.562367321824436e-07},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8726817042606516,0.8695652173913043,0.7948717948717948,0.8857142857142857,0.8596491228070176,0.7322666919985751,0.8378378378378378,0.8726817042606516,0.7793920214352487
6,2,0.7889718653273227,{'var_smoothing': 4.716262091288965e-09},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8781954887218044,0.8695652173913043,0.7804878048780488,0.9142857142857143,0.8421052631578947,0.7388236235435874,0.8421052631578947,0.8781954887218044,0.7793920214352487
6,3,0.8172921457338695,{'var_smoothing': 7.069394755964204e-07},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8958333333333333,0.8913043478260869,0.825,0.9166666666666666,0.875,0.7793920214352487,0.868421052631579,0.8958333333333333,0.7793920214352487
6,4,0.8296982582586168,{'var_smoothing': 1.382116752192561e-10},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9146825396825397,0.9021739130434783,0.813953488372093,0.9722222222222222,0.8571428571428571,0.8112575309585593,0.8860759493670886,0.9146825396825398,0.7793920214352487
7,0,0.7764335147641444,{'var_smoothing': 7.710872531569578e-10},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8830409356725146,0.8817204301075269,0.8205128205128205,0.8888888888888888,0.8771929824561403,0.7561965298229242,0.8533333333333334,0.8830409356725146,0.7561965298229242
7,1,0.8184237199915114,{'var_smoothing': 2.0084226336423503e-08},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8892230576441102,0.8695652173913043,0.7555555555555555,0.9714285714285714,0.8070175438596491,0.7560400808175787,0.85,0.8892230576441104,0.7561965298229242
7,2,0.8371426621683604,{'var_smoothing': 8.192206865035753e-10},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8957393483709273,0.8913043478260869,0.8205128205128205,0.9142857142857143,0.8771929824561403,0.7775716924450236,0.8648648648648649,0.8957393483709273,0.7561965298229242
7,3,0.8980525019061787,{'var_smoothing': 4.716397187599426e-10},"Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8690476190476191,0.8586956521739131,0.7674418604651163,0.9166666666666666,0.8214285714285714,0.7219803864033112,0.8354430379746836,0.869047619047619,0.7561965298229242
