round,outer_loop,inner_best_score,best_hyperparams,selected_features,balanced_accuracy,accuracy,precision,recall,specificity,matthews_corrcoef,f1,roc_auc,matthews_corrcoef_med
0,0,0.8786181079566674,"{'C': 77.35832740890028, 'l1_ratio': 0.959832554970419, 'max_iter': 616, 'class_weight': None}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8238304093567251,0.8279569892473119,0.7631578947368421,0.8055555555555556,0.8421052631578947,0.6417459841460234,0.7837837837837838,0.8238304093567251,0.7676875584387531
0,1,0.8298091264628055,"{'C': 61.75606099730526, 'l1_ratio': 0.7954560072432827, 'max_iter': 9073, 'class_weight': None}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9022556390977443,0.9130434782608695,0.9090909090909091,0.8571428571428571,0.9473684210526315,0.8143678329769986,0.8823529411764706,0.9022556390977445,0.7676875584387531
0,2,0.863332118900885,"{'C': 80.51392480089348, 'l1_ratio': 0.6215898924408729, 'max_iter': 4140, 'class_weight': None}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8791979949874686,0.8913043478260869,0.8787878787878788,0.8285714285714286,0.9298245614035088,0.7676875584387531,0.8529411764705882,0.8791979949874688,0.7676875584387531
0,3,0.8800959430544848,"{'C': 0.008952982641393263, 'l1_ratio': 0.5944737757715826, 'max_iter': 8965, 'class_weight': 'balanced'}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8779761904761905,0.8695652173913043,0.7857142857142857,0.9166666666666666,0.8392857142857143,0.7406790412701515,0.8461538461538461,0.8779761904761905,0.7676875584387531
0,4,0.8820785867859783,"{'C': 0.015933560769485343, 'l1_ratio': 0.7443977637032746, 'max_iter': 5342, 'class_weight': 'balanced'}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.941468253968254,0.9347826086956522,0.875,0.9722222222222222,0.9107142857142857,0.8692467406984602,0.9210526315789473,0.9414682539682541,0.7676875584387531
1,0,0.8335825286492868,"{'C': 0.02703050676568945, 'l1_ratio': 0.3014385166056161, 'max_iter': 9114, 'class_weight': None}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9269005847953216,0.9354838709677419,0.9411764705882353,0.8888888888888888,0.9649122807017544,0.8635350290071829,0.9142857142857143,0.9269005847953217,0.7544061473545739
1,1,0.8457956258822092,"{'C': 17668.819629245947, 'l1_ratio': 0.7154990054440551, 'max_iter': 7694, 'class_weight': None}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8989974937343358,0.9021739130434783,0.8611111111111112,0.8857142857142857,0.9122807017543859,0.7938278833337848,0.8732394366197183,0.8989974937343358,0.7544061473545739
1,2,0.8465254738677253,"{'C': 0.3026001672571595, 'l1_ratio': 0.8764546763525402, 'max_iter': 6442, 'class_weight': None}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8210526315789474,0.8260869565217391,0.7567567567567568,0.8,0.8421052631578947,0.6357633273518808,0.7777777777777778,0.8210526315789474,0.7544061473545739
1,3,0.8480140134187333,"{'C': 0.19498999335765868, 'l1_ratio': 0.8712044550856038, 'max_iter': 1337, 'class_weight': 'balanced'}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8819444444444444,0.8804347826086957,0.8205128205128205,0.8888888888888888,0.875,0.7544061473545739,0.8533333333333334,0.8819444444444444,0.7544061473545739
1,4,0.8622620380739082,"{'C': 11.283422502825289, 'l1_ratio': 0.027089869373988384, 'max_iter': 8137, 'class_weight': None}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8571428571428572,0.8804347826086957,0.9310344827586207,0.75,0.9642857142857143,0.7503224734841288,0.8307692307692308,0.8571428571428571,0.7544061473545739
2,0,0.8296982582586168,"{'C': 0.021256435606097558, 'l1_ratio': 0.22716427579867893, 'max_iter': 5579, 'class_weight': None}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8903508771929824,0.9032258064516129,0.9090909090909091,0.8333333333333334,0.9473684210526315,0.7947695843356161,0.8695652173913043,0.8903508771929826,0.747953407663742
2,1,0.8274212131086437,"{'C': 0.033298170876061524, 'l1_ratio': 0.685798426549038, 'max_iter': 3729, 'class_weight': 'balanced'}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9067669172932331,0.8913043478260869,0.7906976744186046,0.9714285714285714,0.8421052631578947,0.7916164347398792,0.8717948717948718,0.9067669172932331,0.747953407663742
2,2,0.8159150312485597,"{'C': 79.0519124428957, 'l1_ratio': 0.9822199351538045, 'max_iter': 9363, 'class_weight': None}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8759398496240601,0.8804347826086957,0.8333333333333334,0.8571428571428571,0.8947368421052632,0.747953407663742,0.8450704225352113,0.8759398496240601,0.747953407663742
2,3,0.885032667246852,"{'C': 0.3349106656236251, 'l1_ratio': 0.005586091316458708, 'max_iter': 4356, 'class_weight': 'balanced'}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8630952380952381,0.8695652173913043,0.8333333333333334,0.8333333333333334,0.8928571428571429,0.7261904761904762,0.8333333333333334,0.8630952380952381,0.747953407663742
2,4,0.8442894472409446,"{'C': 0.10324479611197185, 'l1_ratio': 0.659126249192933, 'max_iter': 9845, 'class_weight': None}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8680555555555556,0.8695652173913043,0.8157894736842105,0.8611111111111112,0.875,0.7296254242366017,0.8378378378378378,0.8680555555555556,0.747953407663742
3,0,0.8958842208939921,"{'C': 0.011670431472586623, 'l1_ratio': 0.7802301981166454, 'max_iter': 110, 'class_weight': 'balanced'}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8720760233918128,0.8494623655913979,0.7291666666666666,0.9722222222222222,0.7719298245614035,0.7253096961268659,0.8333333333333334,0.8720760233918128,0.7748582672485743
3,1,0.8371426621683604,"{'C': 0.004602203609902596, 'l1_ratio': 0.3620973459834045, 'max_iter': 164, 'class_weight': 'balanced'}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.918796992481203,0.9130434782608695,0.8461538461538461,0.9428571428571428,0.8947368421052632,0.8228766928914721,0.8918918918918919,0.918796992481203,0.7748582672485743
3,2,0.8224929497609187,"{'C': 17.821603081301454, 'l1_ratio': 0.7758406745359855, 'max_iter': 8921, 'class_weight': None}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8483709273182958,0.8804347826086957,0.9615384615384616,0.7142857142857143,0.9824561403508771,0.751250386571955,0.819672131147541,0.8483709273182958,0.7748582672485743
3,3,0.8457956258822092,"{'C': 0.14821845150995772, 'l1_ratio': 0.38823214044151344, 'max_iter': 6791, 'class_weight': None}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9097222222222222,0.9021739130434783,0.8292682926829268,0.9444444444444444,0.875,0.8046143294400309,0.8831168831168831,0.9097222222222222,0.7748582672485743
3,4,0.8114953087099337,"{'C': 95495.1299866723, 'l1_ratio': 0.874024218179938, 'max_iter': 7668, 'class_weight': 'balanced'}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8908730158730158,0.8913043478260869,0.8421052631578947,0.8888888888888888,0.8928571428571429,0.7748582672485743,0.8648648648648649,0.8908730158730158,0.7748582672485743
4,0,0.8298091264628055,"{'C': 0.11518335478024752, 'l1_ratio': 0.8701695263157391, 'max_iter': 4533, 'class_weight': None}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8793859649122806,0.8709677419354839,0.7857142857142857,0.9166666666666666,0.8421052631578947,0.7426602870298767,0.8461538461538461,0.8793859649122805,0.7426602870298767
4,1,0.8305075063406608,"{'C': 15.830267421660595, 'l1_ratio': 0.730338000310713, 'max_iter': 1458, 'class_weight': None}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8275689223057644,0.8478260869565217,0.8387096774193549,0.7428571428571429,0.9122807017543859,0.6729121549856875,0.7878787878787878,0.8275689223057643,0.7426602870298767
4,2,0.8415835825627971,"{'C': 0.9907487523086344, 'l1_ratio': 0.1395071472660681, 'max_iter': 7157, 'class_weight': 'balanced'}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8583959899749374,0.8586956521739131,0.7894736842105263,0.8571428571428571,0.8596491228070176,0.7067664235448998,0.821917808219178,0.8583959899749374,0.7426602870298767
4,3,0.8803877858319685,"{'C': 2.960589877845407, 'l1_ratio': 0.4052977310934527, 'max_iter': 2914, 'class_weight': None}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8720238095238095,0.8804347826086957,0.8571428571428571,0.8333333333333334,0.9107142857142857,0.747953407663742,0.8450704225352113,0.8720238095238095,0.7426602870298767
4,4,0.8081161462048198,"{'C': 0.011635567785673817, 'l1_ratio': 0.5854534453226351, 'max_iter': 7243, 'class_weight': 'balanced'}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8918650793650793,0.8804347826086957,0.7906976744186046,0.9444444444444444,0.8392857142857143,0.7666189586809353,0.8607594936708861,0.8918650793650793,0.7426602870298767
5,0,0.844539418336374,"{'C': 0.6136362891816646, 'l1_ratio': 0.5811101142498272, 'max_iter': 8309, 'class_weight': 'balanced'}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8757309941520468,0.8602150537634409,0.7555555555555555,0.9444444444444444,0.8070175438596491,0.7324345457941239,0.8395061728395061,0.8757309941520469,0.770554432598946
5,1,0.8750510189207745,"{'C': 0.019199424668737003, 'l1_ratio': 0.008525549580695069, 'max_iter': 4491, 'class_weight': 'balanced'}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9418546365914786,0.9347826086956522,0.8717948717948718,0.9714285714285714,0.9122807017543859,0.8681816933379206,0.918918918918919,0.9418546365914786,0.770554432598946
5,2,0.8456373715148616,"{'C': 22.12934666886895, 'l1_ratio': 0.08361558127170665, 'max_iter': 428, 'class_weight': None}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.781453634085213,0.8043478260869565,0.7741935483870968,0.6857142857142857,0.8771929824561403,0.5781793037864782,0.7272727272727273,0.7814536340852131,0.770554432598946
5,3,0.8371426621683604,"{'C': 0.13722977496958963, 'l1_ratio': 0.4526054950069569, 'max_iter': 6222, 'class_weight': 'balanced'}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9047619047619048,0.9021739130434783,0.8461538461538461,0.9166666666666666,0.8928571428571429,0.7994745665471849,0.88,0.9047619047619047,0.770554432598946
5,4,0.8305075063406608,"{'C': 0.19263435241163102, 'l1_ratio': 0.1403113787350071, 'max_iter': 9493, 'class_weight': None}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8759920634920635,0.8913043478260869,0.90625,0.8055555555555556,0.9464285714285714,0.770554432598946,0.8529411764705882,0.8759920634920635,0.770554432598946
6,0,0.8664547319740471,"{'C': 0.12666694989596747, 'l1_ratio': 0.07431978614236467, 'max_iter': 3727, 'class_weight': 'balanced'}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9144736842105263,0.9139784946236559,0.868421052631579,0.9166666666666666,0.9122807017543859,0.8213769142455875,0.8918918918918919,0.9144736842105262,0.7853919492733364
6,1,0.8744102592235562,"{'C': 0.03709065173091481, 'l1_ratio': 0.03130445923394942, 'max_iter': 6876, 'class_weight': 'balanced'}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8463659147869673,0.8369565217391305,0.7380952380952381,0.8857142857142857,0.8070175438596491,0.6751914678960395,0.8051948051948052,0.8463659147869674,0.7853919492733364
6,2,0.8152214770507952,"{'C': 1.4370775152935857, 'l1_ratio': 0.7995446017300316, 'max_iter': 311, 'class_weight': 'balanced'}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.8385964912280701,0.8478260869565217,0.8,0.8,0.8771929824561403,0.6771929824561403,0.8,0.8385964912280703,0.7853919492733364
6,3,0.8265740825216593,"{'C': 0.02011711357468997, 'l1_ratio': 0.10841881508383722, 'max_iter': 3153, 'class_weight': 'balanced'}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9007936507936507,0.8913043478260869,0.8095238095238095,0.9444444444444444,0.8571428571428571,0.7853919492733364,0.8717948717948718,0.9007936507936508,0.7853919492733364
6,4,0.8480140134187333,"{'C': 0.07111048088631759, 'l1_ratio': 0.09160477197202488, 'max_iter': 7220, 'class_weight': 'balanced'}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.9146825396825397,0.9021739130434783,0.813953488372093,0.9722222222222222,0.8571428571428571,0.8112575309585593,0.8860759493670886,0.9146825396825398,0.7853919492733364
7,0,0.8288028415106109,"{'C': 0.1882560120876123, 'l1_ratio': 0.3018389234653057, 'max_iter': 7221, 'class_weight': None}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.831140350877193,0.8494623655913979,0.84375,0.75,0.9122807017543859,0.6790329859033212,0.7941176470588235,0.831140350877193,0.7288080930014391
7,1,0.8335825286492868,"{'C': 0.5965405164547561, 'l1_ratio': 0.7895200880399091, 'max_iter': 9965, 'class_weight': 'balanced'}","Index(['UMAP0', 'UMAP1', 'UMAP2', 'UMAP3', 'UMAP4'], dtype='object')",0.874937343358396,0.8586956521739131,0.75,0.9428571428571428,0.8070175438596491,0.7288080930014391,0.8354430379746836,0.874937343358396,0.7288080930014391
